auction_id,auction_description,round,start_time,end_time,proceeds,net_proceeds,activity_requirement_percentage,contingent_bidding_limit_percentage,increment_percentage,increment_cap,products_with_aggregate_demand_greater_than_1,products_with_aggregate_demand_equal_to_1,products_with_aggregate_demand_equal_to_0
108,2.5 GHz,73,2022-08-29 14:00:00,2022-08-29 14:30:00,427789670,419133261,100,120,10,10000000,0,7872,145
108,2.5 GHz,72,2022-08-29 12:30:00,2022-08-29 13:00:00,427424670,418768260,100,120,10,10000000,1,7871,145
108,2.5 GHz,71,2022-08-29 11:15:00,2022-08-29 11:45:00,426935670,418279260,100,120,10,10000000,1,7871,145
108,2.5 GHz,70,2022-08-29 10:00:00,2022-08-29 10:30:00,426490670,417834260,100,120,10,10000000,1,7871,145
108,2.5 GHz,69,2022-08-26 16:30:00,2022-08-26 17:00:00,426086670,417430260,100,120,10,10000000,2,7870,145
108,2.5 GHz,68,2022-08-26 15:15:00,2022-08-26 15:45:00,425689670,417040310,100,120,10,10000000,19,7853,145
108,2.5 GHz,67,2022-08-26 14:00:00,2022-08-26 14:30:00,423569670,414954060,100,120,10,10000000,20,7852,145
108,2.5 GHz,66,2022-08-26 12:30:00,2022-08-26 13:00:00,421611670,413024760,100,120,10,10000000,22,7850,145
108,2.5 GHz,65,2022-08-26 11:15:00,2022-08-26 11:45:00,419742170,411207670,100,120,10,10000000,29,7843,145
108,2.5 GHz,64,2022-08-26 10:00:00,2022-08-26 10:30:00,418111670,409603545,100,120,10,10000000,31,7841,145
108,2.5 GHz,63,2022-08-25 16:00:00,2022-08-25 17:00:00,416655170,408114370,100,120,10,10000000,37,7835,145
108,2.5 GHz,62,2022-08-25 14:00:00,2022-08-25 15:00:00,415118270,406571325,100,120,10,10000000,40,7832,145
108,2.5 GHz,61,2022-08-25 12:00:00,2022-08-25 13:00:00,413675470,405217990,100,120,10,10000000,44,7828,145
108,2.5 GHz,60,2022-08-25 10:00:00,2022-08-25 11:00:00,412287370,403795485,100,120,10,10000000,49,7823,145
108,2.5 GHz,59,2022-08-24 16:00:00,2022-08-24 17:00:00,410233370,401782295,100,120,10,10000000,69,7803,145
108,2.5 GHz,58,2022-08-24 14:00:00,2022-08-24 15:00:00,408194670,399702625,100,120,10,10000000,76,7796,145
108,2.5 GHz,57,2022-08-24 12:00:00,2022-08-24 13:00:00,406199670,397770720,100,120,10,10000000,77,7795,145
108,2.5 GHz,56,2022-08-24 10:00:00,2022-08-24 11:00:00,403898970,395562840,100,120,10,10000000,86,7786,145
108,2.5 GHz,55,2022-08-23 16:00:00,2022-08-23 17:00:00,401828570,393524087,100,120,10,10000000,92,7780,145
108,2.5 GHz,54,2022-08-23 14:00:00,2022-08-23 15:00:00,399646420,391358357,100,120,10,10000000,120,7752,145
108,2.5 GHz,53,2022-08-23 12:00:00,2022-08-23 13:00:00,397106170,388872044,100,120,10,10000000,167,7705,145
108,2.5 GHz,52,2022-08-23 10:00:00,2022-08-23 11:00:00,394118190,385755965,100,120,10,10000000,184,7688,145
108,2.5 GHz,51,2022-08-22 16:00:00,2022-08-22 17:00:00,391156630,382484254,100,120,10,10000000,193,7679,145
108,2.5 GHz,50,2022-08-22 14:00:00,2022-08-22 15:00:00,387807210,378849297,100,120,10,10000000,237,7635,145
108,2.5 GHz,49,2022-08-22 12:00:00,2022-08-22 13:00:00,384610510,375704412,100,120,10,10000000,248,7624,145
108,2.5 GHz,48,2022-08-22 10:00:00,2022-08-22 11:00:00,381408940,372540072,100,120,10,10000000,261,7611,145
108,2.5 GHz,47,2022-08-19 16:00:00,2022-08-19 17:00:00,376984010,367578281,100,120,10,10000000,295,7575,147
108,2.5 GHz,46,2022-08-19 14:00:00,2022-08-19 15:00:00,371914990,362598551,100,120,10,10000000,355,7515,147
108,2.5 GHz,45,2022-08-19 12:00:00,2022-08-19 13:00:00,367407230,358211681,95,120,10,10000000,222,7648,147
108,2.5 GHz,44,2022-08-19 10:00:00,2022-08-19 11:00:00,363665250,354480222,95,120,10,10000000,251,7619,147
108,2.5 GHz,43,2022-08-18 16:00:00,2022-08-18 17:00:00,359003490,349272171,95,120,10,10000000,283,7587,147
108,2.5 GHz,42,2022-08-18 14:00:00,2022-08-18 15:00:00,352095170,342315923,95,120,10,10000000,285,7577,155
108,2.5 GHz,41,2022-08-18 12:00:00,2022-08-18 13:00:00,347356580,337382665,95,120,10,10000000,302,7560,155
108,2.5 GHz,40,2022-08-18 10:00:00,2022-08-18 11:00:00,341562770,328291041,95,120,10,10000000,365,7497,155
108,2.5 GHz,39,2022-08-17 16:00:00,2022-08-17 17:00:00,335117070,319974877,95,120,10,10000000,484,7378,155
108,2.5 GHz,38,2022-08-17 14:00:00,2022-08-17 15:00:00,327788870,313360032,95,120,10,10000000,492,7370,155
108,2.5 GHz,37,2022-08-17 12:00:00,2022-08-17 13:00:00,317712340,303965746,95,120,10,10000000,543,7318,156
108,2.5 GHz,36,2022-08-17 10:00:00,2022-08-17 11:00:00,310390150,297094265,95,120,10,10000000,618,7243,156
108,2.5 GHz,35,2022-08-16 16:00:00,2022-08-16 17:00:00,302399070,288729132,95,120,10,10000000,636,7224,157
108,2.5 GHz,34,2022-08-16 14:00:00,2022-08-16 15:00:00,294919770,281903037,95,120,10,10000000,634,7226,157
108,2.5 GHz,33,2022-08-16 12:00:00,2022-08-16 13:00:00,287727870,275351332,95,120,10,10000000,654,7206,157
108,2.5 GHz,32,2022-08-16 10:00:00,2022-08-16 11:00:00,280994890,269324897,95,120,10,10000000,663,7197,157
108,2.5 GHz,31,2022-08-15 16:00:00,2022-08-15 17:00:00,274470100,260431672,95,120,10,10000000,744,7116,157
108,2.5 GHz,30,2022-08-15 14:00:00,2022-08-15 15:00:00,267392020,254352467,95,120,10,10000000,748,7112,157
108,2.5 GHz,29,2022-08-15 12:00:00,2022-08-15 13:00:00,260850450,248563412,95,120,10,10000000,765,7095,157
108,2.5 GHz,28,2022-08-15 10:00:00,2022-08-15 11:00:00,254535080,242554737,95,120,10,10000000,794,7066,157
108,2.5 GHz,27,2022-08-12 16:00:00,2022-08-12 17:00:00,248286700,236557263,95,120,10,10000000,876,6984,157
108,2.5 GHz,26,2022-08-12 14:00:00,2022-08-12 15:00:00,242061260,230540737,95,120,10,10000000,950,6910,157
108,2.5 GHz,25,2022-08-12 12:00:00,2022-08-12 13:00:00,235862470,224172174,95,120,10,10000000,980,6880,157
108,2.5 GHz,24,2022-08-12 10:00:00,2022-08-12 11:00:00,229166660,218554311,95,120,10,10000000,1010,6849,158
108,2.5 GHz,23,2022-08-11 16:00:00,2022-08-11 17:00:00,222721000,211999040,95,120,10,10000000,1113,6745,159
108,2.5 GHz,22,2022-08-11 14:00:00,2022-08-11 15:00:00,214735000,204787565,95,120,10,10000000,1290,6567,160
108,2.5 GHz,21,2022-08-11 12:00:00,2022-08-11 13:00:00,208244440,198914548,95,120,10,10000000,1349,6507,161
108,2.5 GHz,20,2022-08-11 10:00:00,2022-08-11 11:00:00,202067930,193392470,95,120,10,10000000,1409,6447,161
108,2.5 GHz,19,2022-08-10 16:00:00,2022-08-10 17:00:00,195832350,187102648,95,120,10,10000000,1590,6266,161
108,2.5 GHz,18,2022-08-10 14:00:00,2022-08-10 15:00:00,189079710,180007511,95,120,10,10000000,1652,6204,161
108,2.5 GHz,17,2022-08-10 12:00:00,2022-08-10 13:00:00,182731120,174396093,95,120,10,10000000,1719,6137,161
108,2.5 GHz,16,2022-08-10 10:00:00,2022-08-10 11:00:00,176840610,168889228,95,120,10,10000000,1890,5966,161
108,2.5 GHz,15,2022-08-09 14:00:00,2022-08-09 16:00:00,170897110,163441593,95,120,10,10000000,1913,5943,161
108,2.5 GHz,14,2022-08-09 10:00:00,2022-08-09 12:00:00,165557760,158241833,95,120,10,10000000,1847,6009,161
108,2.5 GHz,13,2022-08-08 14:00:00,2022-08-08 16:00:00,159899600,153151225,95,120,10,10000000,1947,5908,162
108,2.5 GHz,12,2022-08-08 10:00:00,2022-08-08 12:00:00,155142170,148928121,95,120,10,10000000,2071,5784,162
108,2.5 GHz,11,2022-08-05 14:00:00,2022-08-05 16:00:00,150606340,144856212,95,120,10,10000000,2104,5751,162
108,2.5 GHz,10,2022-08-05 10:00:00,2022-08-05 12:00:00,146551500,141302211,95,120,10,10000000,1985,5870,162
108,2.5 GHz,9,2022-08-04 14:00:00,2022-08-04 16:00:00,143048170,138088840,95,120,10,10000000,1997,5858,162
108,2.5 GHz,8,2022-08-04 10:00:00,2022-08-04 12:00:00,138740840,134075307,95,120,10,10000000,2158,5695,164
108,2.5 GHz,7,2022-08-03 14:00:00,2022-08-03 16:00:00,135193010,130898521,95,120,10,10000000,2229,5624,164
108,2.5 GHz,6,2022-08-03 10:00:00,2022-08-03 12:00:00,132177910,128207727,95,120,10,10000000,2266,5587,164
108,2.5 GHz,5,2022-08-02 14:00:00,2022-08-02 16:00:00,128903450,125316802,95,120,10,10000000,3213,4639,165
108,2.5 GHz,4,2022-08-02 10:00:00,2022-08-02 12:00:00,121800570,118487891,95,120,10,10000000,3285,4567,165
108,2.5 GHz,3,2022-08-01 14:00:00,2022-08-01 16:00:00,115266210,112312380,95,120,10,10000000,3339,4513,165
108,2.5 GHz,2,2022-08-01 10:00:00,2022-08-01 12:00:00,108464260,105820506,95,120,10,10000000,3392,4459,166
108,2.5 GHz,1,2022-07-29 10:00:00,2022-07-29 16:00:00,103467300,100654560,95,100,10,10000000,3454,4395,168
