auction_id,license,market,market_name,category
108,D02013-1,AK-013,Aleutians East,C1
108,D02013-2,AK-013,Aleutians East,C2
108,D02013-3,AK-013,Aleutians East,C3
108,D02016-1,AK-016,Aleutians West,C1
108,D02016-2,AK-016,Aleutians West,C2
108,D02016-3,AK-016,Aleutians West,C3
108,D02020-1,AK-020,Anchorage,C1
108,D02020-2,AK-020,Anchorage,C2
108,D02020-3,AK-020,Anchorage,C3
108,D02050-1,AK-050,Bethel,C1
108,D02050-2,AK-050,Bethel,C2
108,D02050-3,AK-050,Bethel,C3
108,D02068-1,AK-068,Denali,C1
108,D02068-2,AK-068,Denali,C2
108,D02068-3,AK-068,Denali,C3
108,D02090-3,AK-090,Fairbanks North Star,C3
108,D02100-1,AK-100,Haines,C1
108,D02100-2,AK-100,Haines,C2
108,D02100-3,AK-100,Haines,C3
108,D02105-1,AK-105,Hoonah-Angoon,C1
108,D02105-2,AK-105,Hoonah-Angoon,C2
108,D02105-3,AK-105,Hoonah-Angoon,C3
108,D02150-1,AK-150,Kodiak Island,C1
108,D02150-2,AK-150,Kodiak Island,C2
108,D02150-3,AK-150,Kodiak Island,C3
108,D02158-1,AK-158,Kusilvak,C1
108,D02158-2,AK-158,Kusilvak,C2
108,D02158-3,AK-158,Kusilvak,C3
108,D02195-1,AK-195,Petersburg,C1
108,D02195-2,AK-195,Petersburg,C2
108,D02195-3,AK-195,Petersburg,C3
108,D02198-1,AK-198,Prince of Wales-Hyder,C1
108,D02198-2,AK-198,Prince of Wales-Hyder,C2
108,D02198-3,AK-198,Prince of Wales-Hyder,C3
108,D02230-1,AK-230,Skagway,C1
108,D02230-2,AK-230,Skagway,C2
108,D02230-3,AK-230,Skagway,C3
108,D02275-1,AK-275,Wrangell,C1
108,D02275-2,AK-275,Wrangell,C2
108,D02275-3,AK-275,Wrangell,C3
108,D02290-1,AK-290,Yukon-Koyukuk,C1
108,D02290-2,AK-290,Yukon-Koyukuk,C2
108,D02290-3,AK-290,Yukon-Koyukuk,C3
108,D06065-1,CA-065,Riverside,C1
108,D06067-1,CA-067,Sacramento,C1
108,D06067-2,CA-067,Sacramento,C2
108,D06073-1,CA-073,San Diego,C1
108,D06073-2,CA-073,San Diego,C2
108,D12011-1,FL-011,Broward,C1
108,D12011-2,FL-011,Broward,C2
108,D12011-3,FL-011,Broward,C3
108,D12086-1,FL-086,Miami-Dade,C1
108,D17031-1,IL-031,Cook,C1
108,D17031-2,IL-031,Cook,C2
108,D17031-3,IL-031,Cook,C3
108,D18061-1,IN-061,Harrison,C1
108,D18061-2,IN-061,Harrison,C2
108,D25017-1,MA-017,Middlesex,C1
108,D25017-2,MA-017,Middlesex,C2
108,D32005-1,NV-005,Douglas,C1
108,D32005-2,NV-005,Douglas,C2
108,D38085-1,ND-085,Sioux,C1
108,D38085-2,ND-085,Sioux,C2
108,D38085-3,ND-085,Sioux,C3
108,D40003-1,OK-003,Alfalfa,C1
108,D40003-2,OK-003,Alfalfa,C2
108,D40003-3,OK-003,Alfalfa,C3
108,D40023-1,OK-023,Choctaw,C1
108,D40027-1,OK-027,Cleveland,C1
108,D40027-2,OK-027,Cleveland,C2
108,D40027-3,OK-027,Cleveland,C3
108,D40041-1,OK-041,Delaware,C1
108,D40041-2,OK-041,Delaware,C2
108,D40043-1,OK-043,Dewey,C1
108,D40043-2,OK-043,Dewey,C2
108,D40043-3,OK-043,Dewey,C3
108,D40045-3,OK-045,Ellis,C3
108,D40047-1,OK-047,Garfield,C1
108,D40047-2,OK-047,Garfield,C2
108,D40053-1,OK-053,Grant,C1
108,D40053-2,OK-053,Grant,C2
108,D40053-3,OK-053,Grant,C3
108,D40059-1,OK-059,Harper,C1
108,D40059-2,OK-059,Harper,C2
108,D40059-3,OK-059,Harper,C3
108,D40061-1,OK-061,Haskell,C1
108,D40061-2,OK-061,Haskell,C2
108,D40061-3,OK-061,Haskell,C3
108,D40063-1,OK-063,Hughes,C1
108,D40063-2,OK-063,Hughes,C2
108,D40067-1,OK-067,Jefferson,C1
108,D40067-2,OK-067,Jefferson,C2
108,D40079-1,OK-079,Le Flore,C1
108,D40079-2,OK-079,Le Flore,C2
108,D40079-3,OK-079,Le Flore,C3
108,D40085-1,OK-085,Love,C1
108,D40085-2,OK-085,Love,C2
108,D40085-3,OK-085,Love,C3
108,D40087-1,OK-087,McClain,C1
108,D40087-2,OK-087,McClain,C2
108,D40087-3,OK-087,McClain,C3
108,D40089-1,OK-089,McCurtain,C1
108,D40089-2,OK-089,McCurtain,C2
108,D40089-3,OK-089,McCurtain,C3
108,D40093-1,OK-093,Major,C1
108,D40093-2,OK-093,Major,C2
108,D40093-3,OK-093,Major,C3
108,D40113-1,OK-113,Osage,C1
108,D40113-2,OK-113,Osage,C2
108,D40113-3,OK-113,Osage,C3
108,D40121-2,OK-121,Pittsburg,C2
108,D40121-3,OK-121,Pittsburg,C3
108,D40123-1,OK-123,Pontotoc,C1
108,D40123-2,OK-123,Pontotoc,C2
108,D40129-1,OK-129,Roger Mills,C1
108,D40129-2,OK-129,Roger Mills,C2
108,D40129-3,OK-129,Roger Mills,C3
108,D40151-1,OK-151,Woods,C1
108,D40151-2,OK-151,Woods,C2
108,D40151-3,OK-151,Woods,C3
108,D40153-1,OK-153,Woodward,C1
108,D40153-2,OK-153,Woodward,C2
108,D46031-1,SD-031,Corson,C1
108,D46031-2,SD-031,Corson,C2
108,D46031-3,SD-031,Corson,C3
108,D46041-1,SD-041,Dewey,C1
108,D46041-2,SD-041,Dewey,C2
108,D46041-3,SD-041,Dewey,C3
108,D46102-1,SD-102,Oglala Lakota,C1
108,D46102-2,SD-102,Oglala Lakota,C2
108,D46102-3,SD-102,Oglala Lakota,C3
108,D46121-1,SD-121,Todd,C1
108,D46121-2,SD-121,Todd,C2
108,D46121-3,SD-121,Todd,C3
108,D46137-1,SD-137,Ziebach,C1
108,D46137-2,SD-137,Ziebach,C2
108,D46137-3,SD-137,Ziebach,C3
108,D48029-1,TX-029,Bexar,C1
108,D48029-2,TX-029,Bexar,C2
108,D48099-3,TX-099,Coryell,C3
108,D48193-3,TX-193,Hamilton,C3
108,D48201-1,TX-201,Harris,C1
108,D48201-2,TX-201,Harris,C2
108,D48201-3,TX-201,Harris,C3
108,D53033-1,WA-033,King,C1
